,title_amzn,description_amzn,manufacturer_amzn,price_amzn,id_amzn
838,sibelius 5 educational edition,the fastest smartest easiest way to write music is now even better. whatever your musical style sibelius 5 makes writing scores a breeze - giving you more time to focus on the music. stunning new features like panorama mean you dont need to think about pages while youre composing or arranging. you can just let you creativity flow. ideas hub is a real first for music software. it lets you instantly capture your musical ideas and then find them again in a second - so youll never lose another idea. plus new high-quality built-in sounds play back your scores with astounding realism because theres no better way to perfect your music than by hearing it. you can create audio files which can be converted to mp3s or burned to cd produce instrumental parts effortlessly compose for video sell your music online and do hundreds of other things you might never have dreamed of.,sibelius software ltd.,329.0,b000rwdd9q
839,grisoft avg anti-virus & anti-spyware - 2 year subscription,avg knows that you didn't buy your pc to run security software. that is why avg is designed to use the the least amount of your pc's resources while offering you rock-solid protection against the latest internet threats. system requirements: cpu intel pentium 300 mhz 70 mb free hard drive space 64 mb ram format: win 2000 xp vista,grisoft,39.95,b000s5x3q0
840,gods: lands of infinity - special edition,the ancient world of bellarion struggled in the never ending war of gods. the conflict began when xarax ruler of the gods was murdered. each of the remaining gods claimed the right to the divine throne. after many battles the defeated gods refused to submit to the victors and instead summoned their armies to attack the worshippers of other gods. the deaths of those worshippers weakened the power of the conquering gods. after 2000 years of battles bellarion lay in ruins. no one was able to achieve victory until the god of darkness mortagon found a new weapon which resisted all magic and divine powers. as the last hope arswaargh the god of fire created vivien who he fashioned after his own astral body. arswaargh sent vivien through space and time to seek the counter-weapon needed to defy mortagorn but unfortunately she lost her divine essence while traveling through the magical portal to another world. vivien must now seek the gods of the new world gain back her power and search for the counter-weapon against mortagorn. gods: lands of infinity special edition is a blend of adventure and action in a turn-based setting. there is an array of missions and npc (non player characters) that players can add to their team. players must fight gain experience level and acquire new skills. the game is played out in the first-person perspective until gamers enter a battle encounter at which point the game goes into third-person turn-based battle. gods: lands of infinity special edition invites you into an exciting world full of adventures battles and quests of unearthly affairs. spend hours discovering the world of antasion trading and completing the lead quests of each race or kingdom and many side quests. highly advanced shader system providing realistic effects of natural ice water grass and other nature elements. animated environment with high-resolution photo-realistic textures over two hundred,strategy first,29.99,b000s8jxpc
841,partition commander 10,partition commander 10 (win 98 me 2000 xp vista),avanquest,49.95,b000saufbg
842,family tree maker 2008 platinum,,encore,99.95,b000sqnbp2
843,make music finale 2008 academic,,emedia,350.0,b000szzpi4
844,global software smart steps 2nd grade ( windows macintosh ),developed by education specialists smart steps builds a solid foundation in reading math science creativity and more to prepare students for a lifetime of success in school. a unique tracking system gives a detailed chart of each student's development highlights areas of interest and identifies areas where students need more practice. an innovative sticker reward system inspires students to complete each activity continue on with new skills and practice over and over again. with a host of creative activities and an incredible variety of up to 100 practice exercises smart steps will teach and reinforce learning until skills are mastered and implemented.,global software,0.0,b000tilkq6
845,morpheus photo animation suite,let your imagination run wild! morpheus photo animation suite gives you the power to create your own morphs warps and mixes - just like you see in the movies! you can easily share your creations with everyone you know! email your animations to family and friends and post them on myspace match.com flickr and all your other favorite sites. morpheus photo animation suite contains three awesome software products to morph warp and mix all of your photos! share animations with friends and family seamlessly with the built-in email feature render morphs in a variety of popular formats including flash swf and animated gif as well as exporting frames in still formats such as jpeg png tiff and more get creative! morph your baby photo into your own picture transform your wife into her mother or your husband into one of the beatles see what happens when you mix any two celebrity heads together surprise a wedding couple by mixing the faces of the bride and groom system requirements - mac os x 10.3.9 (tiger) or higher 400mhz g4 or higher cpu or any intel macintosh 256mb of ram,smith micro software inc.,49.99,b000tl4qb4
846,travelogue 360: paris,among its renowned landmarks and hidden gems waiting to be discovered paris holds something new for each of its visitors. scour some of the world's most famous locations for souvenirs as you prepare to be interviewed for an upcoming article in travelogue 360 magazine. locate items hidden in 3-dimensional views of the eiffel tower down the champs elysees under the arc d'triomphe and others of paris' most beloved landmarks. find your own paris in this incredible voyage.,aspyr media,29.99,b000trgqqg
847,adobe cs3 design premium macosx dvd,design premium cs3 3 mac ed 1u,adobe,599.0,b000ub66ha
848,adobe cs3 design standard macosx dvd,design std cs3 3 mac ed 1u,adobe,399.0,b000ub6avc
849,3ds max 9 com new slm,3ds max 9 com new slm,autodesk m & e box,3495.0,b000ujw3ss
850,panda software antivirus & firewall 2008 - windows,now you can be sure that all the information on your pc is completely safe thanks to the reinforced protection of the new panda antivirus + firewall 2008. panda antivirus 2008 is a simple-to-use protection for your computer. just install it and it will automatically detect and eliminate all types of viruses spyware and online fraud. you'll hardly need to lift a finger so you can chat share photos and videos with friends read your favorite blogs or simply surf the web without needing to worry. with panda antivirus 2008 you can use download or share files; fully protected against all types of viruses worms and trojans. annoying and aggressive pop-up ads can cause computer slowdowns and suddenly change your system settings. the real danger is when these spyware threats steal information about your internet activity and then use it without your knowledge. panda antivirus 2008 detects and completely removes spyware and other annoying programs automatically. some programs update applications you have installed but others will try and access your pc without your knowledge. a configurable personal firewall stops intruders and hackers from controlling your pc and exploiting your connection to the internet. panda antivirus 2008 identifies fraudulent emails and prevents you from revealing your bank details account numbers or other confidential information. panda antivirus 2008 will keep you safe from these dangerous scams so you can bank and shop online with complete peace of mind. rootkits can be used to hide threats and prevent them from being detected by security solutions. these threats can then act with impunity on your system. with panda antivirus 2008 you won't have any problem as its reinforced protection system can detect threats that use this stealth technique. antirootkit - detects threats that try to hide on your pc system requirements - windows xp windows 2000 pro windows me window,panda software,0.0,b000v05f4k
851,my guitar,,emedia,29.95,b000v7rij8
852,symc backup exec sbs prm 11d win small business server,backup exec 11d for small business server premium business pack (without support),symantec,885.83,b000keho0a
853,ca arcserve bkup r11.1/nw stor area netw (san) opt prod only,arcserve bkup r11.1/nw stor area netw (san) opt prod only,computer associates,0.0,b00073fl7w
854,nortel contivity stateful firewall license - standard - 1 switch,license - - 1 switch(es) - standard - english,nortel,0.0,b0007zgxy0
855,diskeepeer 2007 admin upgrade sngl lic pack,diskeepeer 2007 admin upg sngl lic pack,diskeeper corporation,200.0,b000ju9ndq
856,ca brightstor arcserve backup r11.1 for netware upgrade from arcserve 7 for netware,arcserve bkup r11.1 nw upg-v sp1- prod only,computer associates,0.0,b000fbgav2
857,upgrade robohelp server 6 win ue 1u,adobe commercial robohelp office server 6,adobe,3609.98,b000m06st0
858,watchguard mobile user vpn 5 user bundle ( wg3605 ),bundle mobile user vpn 5u,watchguard technologies inc,0.0,b00004s61f
859,softgrid cal for ts 4.1 english mlp 20 user cal,softgrid cal for ts 4.1 english mlp 20 user,microsoft,0.0,b000jywfq4
860,ca arcserve bkup r11.5 win svrless bkup opt sp1- prod only,arcserve bkup r11.5 win svrless bkup opt sp1- prod only,computer associates,0.0,b000fbgae4
861,exceed 2007 with 1yr mnt 1u,exceed 2007 w/1yr mnt 1u,hummingbird communications,650.0,b000hcmtly
862,prosoft tunetech for ipod (mac),tunetech for ipod by prosoft,prosoft engineering,74.99,b0009xndso
863,sonicwall global vpn client - license ( 01-ssc-5310 ),license - - 1 user(s) - standard - pc handheld,sonic systems inc.,0.0,b00008pbus
864,the computrace lojack for laptops computer tracking and loss control solution by,the computrace lojack for laptops computer tracking and loss control solution by absolute software inc. comprised of absolute s secure patented computrace agent and the absolute monitoring center. price is per laptop.4-year computrace lojack,lenovo,0.0,b000f8gxg2
865,small business server 2003 20u cal addpak user,manufacturer: microsoft corporation.manufacturer part number: t74-00004license type: additive licenselicense pricing: standardlicense quantity: 20 user cal,microsoft,0.0,b0000cg4gt
866,adobe photoshop elements 4.0 plus adobe premiere elements 2.0 - complete package - 1 user - cd ( mini-box ) - win - canadian french ( 29180162 ),adobe photoshop elements 4.0 plus adobe premiere elements 2.0 software combines two powerful intuitive products in one affordable package. edit organize and show your photos in creative and entertaining ways. and create home videos like a famous director. plus use both products to burn your slide shows to dvd and design custom dvd menus that can be saved as templates to use again and again. this product comes in retail mini box.,adobe systems inc,0.0,b000bvbmci
867,emc retrospect 7.5 disk to disk windows,emc retrospect 7.5 disk to diskcromwindows,dantz,0.0,b000ehpzv8
868,sonicwall comprehensive gateway security suite - 1 year upgrade plan ( 01-ssc-5845 ),license - 1 year(s) - 1 firewall - standard,sonic systems inc.,0.0,b00073flao
869,designcad v 17,designcad v17 2d computer aided design,imsi,29.95,b000hlt5j4
870,high availability requires two livesecurity firesboxes,the optional high availability active/passive (a/p) software allows you to install a second same model standby firebox to ensure that your web site and network remain accessible to your customers business partners and employees.,watchguard technologies inc,1995.0,b00004swll
871,upgrade 3d for exceed 2007 1u,upg 3d for exceed 2007 1u,hummingbird communications,0.0,b000hvxix8
872,hp digital sending secure - license - 50 users - std,capture process and route stacks of paper-based documents into digital formats quickly simply and reliably. extend the sending capability of your hp multifunction product with digital sending software (dss).,hewlett packard,0.0,b0002agbtc
873,watchguard 1yr subs firebox x5 webblocker ( wg017196 ),model- wg017196 vendor- watchguard features- firebox x5 1 year webblocker subscription,watchguard technologies inc,159.9,b0002t867s
874,super solvers - spellbound! ! - school edition for mac,features four activities that will help children master spelling using word recall and differentiation techniques. plus it helps enhance a child's vocabulary and language development skills.,learning company,49.95,b00070j14y
875,ca arcserve bkup r11.5 win agent mac os x - upgrade prod only,arcserve bkup r11.5 win agent mac os x - upg-v prod only,computer associates,0.0,b000fbgaqc
876,season ticket football 2003,season ticket football 2003 is a new football simulation that doesn't just challenge your finger speed -- it challenges your mind!,atari,19.99,b000068xo6
877,victorymul submitwolf version 6.0 ( swolf6r ),submitwolf v6.0 by trellian llc win 9x/me/nt/2000/xp,victory multimedia,149.99,b000636jii
878,sonicwall internet upgrade (50-node),sonicwall,sonicwall,0.0,b000040p1z
879,procurve manager plus upgrade-,upg procurve manager plus,hewlett packard,0.0,b000b5ss76
880,microsoft digital image suite 2006 plus pinnacle studio 10.0,microsoft digital image suite 2006 plus mini box,microsoft,99.95,b000ayktam
881,reader rabbit playtime for baby and toddler,explore colors shapes songs animals letters numbers and more with your baby or toddler. discover the happy and colorful world of reader rabbit--an enchanted land of fun and learning--with your child.,the learning company,19.99,b00005ljem
882,refviz v2 mac single user,refviz v2 mac single user,isi researchsoft,299.95,b000bufcn4
883,adobe acrobat capture 100 000 page pack,adobe acrobat capture for windows v3.0 100k/pp. replacement 100k page dongle.,adobe,1514.99,b00004tj14
884,cisco ios enterprise services - complete package ( cd28-esk9= ),cisco ios software is the world's leading network infrastructure software delivering a seamless integration of technology innovation business-critical services and hardware support. currently operating on over ten million active systems ranging from the small home office router to the core systems of the world's largest service provider networks cisco ios software is the most widely leveraged network infrastructure software in the world.,cisco systems - enterprise,0.0,b000a6jrwq
885,crystal reports xi developer,crystal reports xi allows you to access format and deliver information to drive better decisionmaking with the flexibility and power necessary to provide your internal and external users with the information they need when they need it while minimizing it overhead.,business objects,595.0,b0007d8eq2
886,media kit storage foundation basic lnx v4.1 cpu vol-4 file sys-4,,veritas,0.0,b000fhgu6q
887,csi: crime scene investigation,csi comes to life on your pc with all the cyber-sherlock holmes appeal fans know and love. the high production value of the game and its faithful adherence to the theme style and sound of the show prove that it is not just a crass attempt to cash in on the csi craze. as you'd expect csi is a mystery adventure game that follows the format of the csi show. you collect evidence head to the lab visit the morgue and so on. you scrutinize the game's screens looking for evidence or areas that may contain hidden clues. you can use luminal to find blood traces you can dust for prints and you can use the sniffer to get gas samples--all are familiar tools and methods used in the show. csi fans will likely intuitively know when and where to use each item while adventure game fans will delight in having such new high tech toys. csi offers five quality storylines each of which would feel at home on the show. while you don't get to fill the shoes of one of the show's well-known characters you do get to work with each of them as you progress along the csi investigative chain. show characters join you to provide hints and help you establish the motive means and opportunity needed to determine and catch the bad guy. fans of the show will forgive the short length of the game and merely adequate graphics just because of the quality storylines use of the real actors and respect shown the license. adventure game fans will also appreciate it even if they'll find it a bit too easy (it's aimed at mainstream fans more than hardcore gamers). csi brings enough true crime class to be of interest to fans and non-fans alike.--andrew s. bub pros: actors from the show voice their characters in the game pays homage and tribute to the show respects adventure game and csi fans equally cons: animation is stiff five mysteries is too few,ubi soft,19.99,b00007lvdn
888,super solvers - mission t.h.i.n.k - 25 user site license,morty the notorious master of mischief is back in a wild and wacky arcade game that sharpens thinking and problem-solving skills that are fundamental to success in math science and everyday life. this time he and his metal minions have taken over the game factory and are challenging all super solvers' fans to a duel of wits!,learning company,399.95,b0002bqs8u
889,microsoft sql server standard edition 2005 64 bit cd/dvd 5 client,sql server is a comprehensive integrated end-to-end data solution that empowers users across your organization by providing them with a secure reliable and productive platform for enterprise data and business intelligence (bi) applications. sql server 2005 delivers powerful familiar tools to information technology professionals as well as to information workers reducing the complexity of creating deploying managing and using enterprise data and analytical applications on platforms ranging from mobile devices to enterprise data systems. through a comprehensive feature set interoperability with existing systems and automation of routine tasks sql server 2005 provides a complete data solution for enterprises of all sizes.,microsoft,1849.0,b000bhl1r8
890,quarkxpress 7 for mac/win .,more people use quarkxpress for creative design and page layout than any other software in the world. period. quarkxpress 7 boasts 160 new innovative features. take control of transparency with total independence. create visually stunning graphics from within quarkxpress 7 ? no need to switch to another application. use the revolutionary composition zones functionality to collaborate with multiple users anywhere in the world on the same layout at the same time. optimize your production workflows with new job jackets technology. work faster with a streamlined user interface and dynamic design tools. establish your advanced color management settings globally removing the responsibility from the individual designer. print providers can send a job jackets file with embedded color settings allowing for true on-screen proofing for your workflow,quark,1289.42,b000lroze4
891,myinvoices & estimates deluxe,myinvoices and estimates deluxe makes ite asier to handle one of the most important elements of your business: the invoices and estimates. get them wrong and you don't get paid. get them right and you'll ensure that your business maintains the cash flow it needs to grow. let myinvoices & estimates deluxe effectively manage your billing and cash collection by creating professional accurate invoices and estimates in minutes.,avanquest software,39.95,b000hysu2y
892,scansoft paperport professional 11 - 5 user license,- marketing information: paperport professional 11 offers all the great features that have made paperport the 1 desktop document management solution plus you also get greater support for the pdf file format more ways to scan documents support for networked multi-function devices and computers and a whole lot more. itandquot;s the first desktop product to combine the power of creating pdf files with the convenience of local or network scanning and the efficiency of document management into a single easy-to-use office productivity application. ideal for individuals workgroups and enterprise organizations paperport professional is the best way to work with scanned paper pdf files and digital documents. product information - software sub type: document management - software name: scansoft paperport v.11.0 professional - complete product - features and benefits: better way to scan documents: - support for scanner buttons - one interface for all your scanners - get the results you expect - automatically - get scanning right in one step - scan efficient small color pdf files for sharing a fast affordable way to create and assemble pdf documents: - easily create pdf files from all your applications - scan-to-pdf - capture web pages as pdf - assemble custom pdf documents with drag and drop simplicity superior document management on your pc desktop: - intuitive thumbnail desktop - fast easy electronic form filling - cut and paste text - from paper and pd,nuance communications inc.,949.99,b000fqvxge
893,ultimate pinball (jewel case),includes 20 amazingly fun tables!product informationit's got flippers bumpers ramps and lightning fast balls that will putyour reflexes to the test.an ultra 3d environment and real-life physics will test even the best pinballplayer as you rack up points b,valusoft,9.99,b00006jk50
894,instant home cooking (jewel case),with over 23 600 recipes and access to over 100 000 more instant home cooking is your complete reference source and organizational tool for delicious recipes. this two-cd-rom suite includes the food lover's encyclopedia home cookin' recipecenter software and barback. with a staggering variety of main courses appetizers desserts light cooking dishes foreign cuisine seafood meals beverage recipes and over 1 000 preparation ideas you'll always have the option of a five-star meal at home. planning guides shopping lists automatic recipe scaling and nutritional analysis will make you a well-educated well-managed and successful cook. recipecenter software lets you access all the recipes you need from one source and store it for easy retrieval. including 200 recipes and nearly 50 pictures this fantastic storage tool also lets you download and save any of the 100 000-plus recipes found at recipecenter.com. barback gives you over 10 400 drink recipes and the advanced search option lets you can combine up to five search criteria including name ingredient category glassware marked recipes cost and price. home cookin' delivers over 12 400 recipes providing everything you need to organize your recipes in a simple alphabetical format. this software uses free-form text entry so you can add or edit a recipe simply by typing. and you can store up to two billion entries and pictures in a single database. the food lover's encyclopedia is rich with interesting historical facts for over 2 000 foods and contains more than 1 000 preparation ideas. with the aid of 600 recipes 60 demonstration videos on cooking techniques tips on buying and storing food and valuable nutritional guides you'll be a master chef in your own home.,topics entertainment,9.99,b00008nruc
895,dk rainbow fish most beautiful fish,[ages 3 - 7] a tender amazing adventure based on marcus pfisters bestselling childrens book. rainbow fish helps the blue whale. rainbow fish lived happily in the deep ocean until one day when the whale fell victim to a bad case of the hiccups and accidentally swallowed rainbow fishs friends. before rainbow fish could do anything the whale hiccuped again and swallowed him too. now rainbow fish is trapped inside the whale and needs help getting out. in this adventure children will encounter interesting characters and experience challenging gamesall with their favorite fish rainbow. bandadore and his followers are so furious to be trapped in the whale that they are holding the gentle molo hostage! can you free him? the seahorses are sad because the baby they are expecting is still asleep in its flower. put your skills to the test and make the flower bloom. features: 2 levels of game play; 2 different endings; increased playtime; numerous pre-school games perfectly integrated in the adventure; a non-linear adventure; a poetic and funny environment filled with friendly characters; humorous dialogs and songs; a simple and intuitive interface.,dk,9.99,b000flhxky
896,scansoft paperport 11 - 5 user license,brand new full retail box,nuance communications inc.,474.99,b000fqvxfk
897,diskeeper 2007 pro premier 5-lic pack,- marketing information: diskeeper pro premier provides unparalleled peak performance for power users and high powered workstation computing delivering the ultimate in high performance to those who need it most. product information - software sub type: disk management - software name: diskeeper 2007 pro premier edition - complete product - platform support: pc license information - license type: complete product - license pricing: standard - license quantity: 5 workstation miscellaneous - compatibility: file system support: - ntfs (new technology file system) - fat16 (file allocation table) and fat32 file system formats disk subsystems supported: - primary partitions - extended partitions - logical drives - volume sets - raid arrays (hardware and software) - mirrored disks - mounted volumes (letter-less drives),diskeeper corporation,736.66,b000ju9nao
898,disney 2nd grade active leveling advantage w buzz (jewel case) ages 6-8,greetings space rangers! toy story's buzz lightyear and the playthings that inhabit andy's bedroom are about to change your definition of educational toys as they make light work of some fairly advanced learning material. andy is gone and buzz takes it upon himself to rally the toys for some teaching and fun. are you ready to exercise your romping skills? he asks gesturing grandly across the bedroom. nine activities provide a full curriculum of early-learning challenges: math (including fractions) music geography spelling reading and telling time. disney's designers didn't forget the fun factor either: kids learn double-digit math as they build a marble maze with the help of jessie the tomboy cowgirl. blasting meteorites into halves and thirds makes fractions fun and buzz spouts global trivia such as argentina has the most sunflowers in the world to teach geography. the music area is a real standout. there's a full four-octave keyboard complete with reverb and exploration yields click-and-drag cassettes that transform the board's sounds into anything from a rock concert to a circus tent. musically inclined kids will have hours of fun in this spot alone. this cd-rom takes full advantage of the audio and visual possibilities computer-based learning can offer. listen for background music composed specifically for certain activities and watch for the shadows that the precisely rendered characters cast. (ages 6 to 8) --anne erickson,disney interactive,9.99,b00008wq9i
899,lotus dev. ibm db2 net search extender - ( v. 8.2 ) - media ( bb0kyna ),,lotus development corp,0.0,b00032q1hq
900,quickstart pc cleaner xp,is your computer running slower due to unwanted garbage and junk left in your system? just from normal everyday use your computer becomes clogged with junk registry files littered file fragments on your hard drive and other unnecessary files. now you can safely clean all that up with a single click with quickstart pc cleaner xp!,selectsoft publishing,19.95,b0003517ls
901,hallmark card studio 2005 deluxe,hallmark card studio deluxe 2005 makes it easy to create your own one-of-a-kind hallmark cards for anyone on any occasion within minutes! capture life's special moments in beautiful photo frames to commemorate any event. enhance your cards and envelopes with dozens of exclusive images. import your own photos and use them as artwork for your cards and projects -- it's fast easy and fun! browse through 5 000 exclusive clip art pieces to find the perfect image work with 1 000 new designs and exclusive hallmark fonts - it's fast easy and fun,sierra home,49.99,b0001h5w9g
902,mother goose - interactive storybook,exciting activities that develop matching reasoning& critical thinking skillsproduct informationlittle golden books have been trusted by parents for more than 60 years. nowsome of the best-loved stories come to life on your computer. read along as you,encore software,19.95,b0002667o0
903,microsoft crm small business ed cal 3.0 license pack user cal,model- ms-cd08016wi vendor- microsoft corporation features- microsoft dynamics crm 3.0 sb edition- 20 license pack user cal this edition is designed to run on the microsoft windows small business server 2003 premium edition a complete single-server solution for small businesses that have limited it staff and resources. the microsoft crm small business edition is easy to install and maintain and offers: - new marketing automation modules for sales marketing and customer service that help a business track and record every customer contact. - advanced reporting services that help qualify leads cross-sell products and maximize sales opportunities without the need for expensive third-party reporting tools. - improved customization that enables any user to get the information he or she needs without any programming. the microsoft crm 3.0 small business edition is designed to operate on the microsoft windows small business server. it can be installed in just 10 mouse clicks and configured through an easy-to-use wizard. this edition also offers easy migration of customer information stored in microsoft office outlook with business contact manager. business moves at light speed today requiring that every company continuously reexamine direction strategies suppliers partners-- literally every variable and relationship that might lead to complacency. the intensified search for competitive advantage may mean that some of your best customers pick up and leave without you ever knowing that there was a problem. how well can you react to-- and even predict--ever-shi,microsoft software,9929.0,b000bta4kg
904,virtual labs: light,easy-to-use experiments and highly accurate simulations with over 40 reproducible lab worksheets to help build an understanding of reflection and mirrors refraction and lenses and colors.,edmark,19.95,b000e0f3yo
905,upg serverlock for solaris gold,watchguard technologies is pleased to offer you the gold livesecurity program. this premium program is designed to meet the aggressive support needs of companies that are heavily dependent upon the internet for web-based commerce or vpn tunnels. expanded hours of coverage industry-leading response times and direct access to the priority support team assure that you get quick around-the-clock remote support assistance when needed.,watchguard technologies inc,0.0,b00006hrjw
906,microsoft licenses isa server lic/sa olp c (e8400294),model-e8400294 vendor- microsoft corporation features- isa server lic/sa olp c microsoft isa server license/software assurance pack. open license program. single processor license. level c. internet security and acceleration (isa) server standard edition is microsoft s internet connection protection tool providing firewall- level security and increased internet connection performance for fast web access and secure connectivity. isa server includes the following features: multi-layer firewall integrated virtual private networking integrated intrusion detection smart application filters advanced authentication client transparency e-mail content screening ssl traffic inspection high-performance web cache distributed and hierarchical caching scheduled content download streaming media support detailed logging built-in reporting,microsoft licenses,3210.4,b0006g2tys
907,windows vista business spanish full version [dvd],,microsoft,329.95,b000m7uqjg
908,adobe acrobat capture 3.0 ( 22101258 ),convert large volumes of paper documents to searchable adobe pdf adobe(r) acrobat(r) capture(r) 3.0 software is a professional production tool that teams with your scanner to convert volumes of paper documents into searchable adobe portable document format (pdf) files. accurate ocr advanced page and content recognition and powerful cleanup tools let you turn all your important paper-based information into high-quality electronic documents ready for publication via the web intranets extranets cd-rom and more. sophisticated productivity features streamline processing from start to finish so you can get your jobs done more efficiently than ever.,adobe,299.99,b0000afwwl
909,sonicwall gms standard edition 10 node license,today enterprises and service providers face increasing security challenges in their distributed networks from security and virus attacks to enforcing security policies. as a distributed network grows and branches into multiple subnetworks linked by the internet so does the complexity of managing security appliances security policies and updates. a single flaw in security implementation at any point in the network can expose the entire infrastructure allowing malicious access to important data and files with severe consequences. managing security for distributed networks on a site-by-site basis is time consuming expensive and unreliable putting a big strain on already limited resources. sonicwall global management system (sonicwall gms) standard edition enables distributed enterprises and service providers to manage thousands of sonicwall internet security appliances from a central location with a powerful flexible and intuitive application. sonicwall gms delivers a cost-effective global security management solution that reduces staffing requirements speeds up deployment and lowers the cost of managing security services. sonicwall gms gives administrators the integrated tools to manage all security policies and services throughout a large-scale multiple policy enterprise or service provider environment. administrators can easily configure sonicwall firewall settings deploy vpn to any user and add sonicwall upgrade and subscription services such as gateway anti-virus anti-spyware and intrusion prevention service complete anti-virus and content filtering service with the click of a button.,sonicwall,0.0,b0000swyw4
910,ae outlook 2007 win32,,microsoft corp,0.0,b000hev6fw
911,filemaker mobile 8 for palm os and pocket pc,filemaker mobile 8 is the perfect companion to your desktop version of filemaker providing instant access to the information you need when you're away from your desk or out of the office. you can also easily manage information while on the go with powerful data editing and updating features. keep your mobile workgroup in sync by synchronizing with shared filemaker databases sort data with column headings resize columns and edit data in list view - even lock the first column to scroll across the screen with ease,filemaker,69.0,b000b7pkio
912,fontware pro+,wasp fontware is a powerful bar code utility that seamlessly integrates truetype fonts with your favorite business software and database applications. wasp bar code fonts are compatible with all windows applications including the most common word processors and spreadsheets. easily create bar codes simply by using a font. generating bar codes has never been easier! wasp fontware professional+ package includes additional add-ins for word excel access and crystal reports.,informatics,0.0,b00006lhf6
913,let's make stickers,a fun program for anyone that likes to make and use stickers! choose from over 5 000 color pictures to use in your designs. personalize your projects with your homemade stickers!,global software publishing,19.95,b000fu3dn6
914,treasure mountain! (jewel case) ages 5-9 for win/mac,the master of mischief has stolen the magic crown and is using its power to gather all of the mountain's magic gold. to win back the crown children must find treasures hidden along the trail and lock them away in the mountaintop castle. they'll need to avoid mischievous elves and answer their reading thinking math and science questions. more than 450 spoken problem-solving questions and automatic leveling make playing easier for prereaders and beginning readers. (ages 5-9),riverdeep,9.99,b00002sam7
915,crayola first ladies costume maker,introduces creativity while brining first ladies tolife!product informationin first ladies costume maker kids get to learn all about famous first ladies!children can dress up their own paper doll like jackie kennedy eleanorroosevelt mary todd lincoln and,encore software,19.95,b0002664gq
